Model,Actual,Predicted,Mean Absolute Error,Average MAE
ElasticNet 0.5,42.0,42.16128951630162,0.16128951630162192,2.397994669632083
ElasticNet 0.5,46.5,50.11559457314013,3.615594573140129,2.397994669632083
ElasticNet 0.5,23.0,25.07153040075434,2.071530400754341,2.397994669632083
ElasticNet 0.5,28.4,30.258096131396314,1.8580961313963158,2.397994669632083
ElasticNet 0.5,24.0,22.058639299134484,1.9413607008655163,2.397994669632083
ElasticNet 0.5,24.6,21.394219891616558,3.2057801083834434,2.397994669632083
ElasticNet 0.5,27.1,27.919823415123915,0.8198234151239134,2.397994669632083
ElasticNet 0.5,30.0,33.41809700935312,3.4180970093531187,2.397994669632083
ElasticNet 0.5,25.7,29.601775228855786,3.9017752288557865,2.397994669632083
ElasticNet 0.5,38.0,39.4106730922997,1.410673092299703,2.397994669632083
ElasticNet 0.5,32.5,33.257936367187426,0.7579363671874262,2.397994669632083
ElasticNet 0.5,48.0,40.00902772682923,7.990972273170769,2.397994669632083
ElasticNet 0.5,36.2,37.75832719833477,1.5583271983347657,2.397994669632083
ElasticNet 0.75,27.1,26.05178712266445,1.0482128773355512,2.389173365793059
ElasticNet 0.75,42.0,42.69554678679947,0.6955467867994685,2.389173365793059
ElasticNet 0.75,46.5,49.84954540986598,3.349545409865982,2.389173365793059
ElasticNet 0.75,23.0,24.698398093026412,1.6983980930264124,2.389173365793059
ElasticNet 0.75,28.4,30.06859601257861,1.668596012578611,2.389173365793059
ElasticNet 0.75,24.0,22.17214931256831,1.8278506874316918,2.389173365793059
ElasticNet 0.75,24.6,21.142850388458783,3.457149611541219,2.389173365793059
ElasticNet 0.75,27.1,27.260441460869515,0.16044146086951372,2.389173365793059
ElasticNet 0.75,30.0,33.75402548800139,3.754025488001389,2.389173365793059
ElasticNet 0.75,25.7,29.701092607819078,4.0010926078190785,2.389173365793059
ElasticNet 0.75,38.0,39.27647910902999,1.2764791090299923,2.389173365793059
ElasticNet 0.75,32.5,33.341068765748446,0.8410687657484459,2.389173365793059
ElasticNet 0.75,48.0,40.12370703114743,7.876292968852567,2.389173365793059
ElasticNet 0.75,36.2,37.99372724220291,1.7937272422029054,2.389173365793059
